DATE,RRSFS_PC1,RSALES_PC1
1964-03-01,.,3.50219
1964-04-01,.,3.57383
1964-05-01,.,5.64016
1964-06-01,.,5.28406
1964-07-01,.,4.93438
1964-08-01,.,6.54813
1964-09-01,.,7.46796
1964-10-01,.,1.87858
1964-11-01,.,3.67202
1964-12-01,.,6.16510
1965-01-01,.,7.50257
1965-02-01,.,7.68736
1965-03-01,.,5.85180
1965-04-01,.,5.87021
1965-05-01,.,5.74359
1965-06-01,.,4.69575
1965-07-01,.,5.87794
1965-08-01,.,5.07798
1965-09-01,.,4.37402
1965-10-01,.,11.02030
1965-11-01,.,11.32335
1965-12-01,.,6.76187
1966-01-01,.,6.68670
1966-02-01,.,5.66744
1966-03-01,.,8.25611
1966-04-01,.,5.90201
1966-05-01,.,2.50296
1966-06-01,.,5.83517
1966-07-01,.,4.25267
1966-08-01,.,4.45653
1966-09-01,.,4.07368
1966-10-01,.,1.03400
1966-11-01,.,0.17920
1966-12-01,.,-0.57602
1967-01-01,.,-6.00901
1967-02-01,.,-6.93424
1967-03-01,.,-7.32384
1967-04-01,.,-5.80100
1967-05-01,.,-4.29491
1967-06-01,.,-4.23015
1967-07-01,.,-5.28409
1967-08-01,.,-6.02683
1967-09-01,.,-3.54875
1967-10-01,.,-4.60087
1967-11-01,.,-2.96881
1967-12-01,.,0.23718
1968-01-01,.,3.13121
1968-02-01,.,5.42499
1968-03-01,.,6.57868
1968-04-01,.,6.08032
1968-05-01,.,6.93472
1968-06-01,.,5.55176
1968-07-01,.,7.32788
1968-08-01,.,8.72412
1968-09-01,.,3.48720
1968-10-01,.,7.74151
1968-11-01,.,8.20546
1968-12-01,.,3.39419
1969-01-01,.,6.44207
1969-02-01,.,5.97707
1969-03-01,.,2.09471
1969-04-01,.,2.64684
1969-05-01,.,2.98695
1969-06-01,.,0.71799
1969-07-01,.,-0.44305
1969-08-01,.,-0.56726
1969-09-01,.,2.72955
1969-10-01,.,1.05205
1969-11-01,.,-1.71716
1969-12-01,.,0.66281
1970-01-01,.,-0.35360
1970-02-01,.,-0.85600
1970-03-01,.,-0.67931
1970-04-01,.,-0.04394
1970-05-01,.,0.43767
1970-06-01,.,1.75000
1970-07-01,.,2.83878
1970-08-01,.,1.62981
1970-09-01,.,0.59073
1970-10-01,.,0.35075
1970-11-01,.,-1.76088
1970-12-01,.,0.22735
1971-01-01,.,2.59855
1971-02-01,.,3.71021
1971-03-01,.,5.12143
1971-04-01,.,6.10769
1971-05-01,.,3.75175
1971-06-01,.,5.05307
1971-07-01,.,4.50864
1971-08-01,.,5.13743
1971-09-01,.,6.90463
1971-10-01,.,7.59322
1971-11-01,.,11.59632
1971-12-01,.,8.63206
1972-01-01,.,5.29241
1972-02-01,.,4.58897
1972-03-01,.,7.41070
1972-04-01,.,5.71943
1972-05-01,.,8.02312
1972-06-01,.,6.99725
1972-07-01,.,7.25038
1972-08-01,.,7.67829
1972-09-01,.,7.60138
1972-10-01,.,7.82414
1972-11-01,.,7.06177
1972-12-01,.,9.56070
1973-01-01,.,12.03983
1973-02-01,.,12.48751
1973-03-01,.,9.47017
1973-04-01,.,7.91683
1973-05-01,.,6.28295
1973-06-01,.,6.09507
1973-07-01,.,5.81539
1973-08-01,.,3.50804
1973-09-01,.,2.98990
1973-10-01,.,1.46703
1973-11-01,.,1.40462
1973-12-01,.,-4.02108
1974-01-01,.,-5.03251
1974-02-01,.,-6.17859
1974-03-01,.,-5.66431
1974-04-01,.,-3.63742
1974-05-01,.,-3.09647
1974-06-01,.,-3.87743
1974-07-01,.,-2.95423
1974-08-01,.,0.09180
1974-09-01,.,-4.50942
1974-10-01,.,-5.83785
1974-11-01,.,-7.36588
1974-12-01,.,-6.25990
1975-01-01,.,-3.72633
